ID,Type,Gender,Brand,Name,Color,Cost (USD),Expected Price (USD),Trip #,Sizes,Count
TW02,T,W,Calvin Klein,Remera Calvin Klein Gris - Mujer,Grey,13.0,60.0,1,M,0
TW03,T,W,Michael Kors,Remera Negra Michael Kors - Mujer,Black,13.0,60.0,1,S,1
TW04,T,W,Calvin Klein,Remera Calvin Klein Celeste - Mujer,Sky Blue,13.0,60.0,1,S,1
TW05,T,W,Coach,Remera Coach Celestes - Mujer,Sky Blue,13.0,60.0,1,S,1
PW01,P,W,DKNY,Sweater Donna Karan NY Mostaza - Mujer,Yellow,30.0,100.0,1,M,1
TM06,T,M,Penguin,Remera Penguin Celeste - Hombre,"S, M",12.0,60.0,1,S,1
TM06,T,M,Penguin,Remera Penguin Celeste - Hombre,"S, M",12.0,60.0,1,M,1
TM07,T,M,Penguin,Remera Celeste Penguin -  Hombre ,,12.0,60.0,1,M,1
TM08,T,M,Tommy Hilfiger,Remera Negra Tommy - Hombre,,12.0,60.0,1,S,1
TM10,T,M,Calvin Klein,Remera Calvin Klein Verde - Hombre,,12.0,60.0,1,M,2
TM11,T,M,Calvin Klein,Remera Calvin Klein Negra - Hombre,,12.0,60.0,1,M,1
TM12,T,M,Calvin Klein,Remera Negra Calvin Klein - Hombre,M,12.0,60.0,1,M,1
TM13,T,W,Calvin Klein,Remera Calvin Klein Negra - Mujer,,12.0,60.0,1,L,1
JM07,J,M,Quicksilver,Campera Quicksilver Celeste - Hombre,,16.0,70.0,1,S,1
PW02,P,W,Calvin Klein,Sweater Calvin Klein Beige - Mujer,,25.0,80.0,1,S,1
PW02,P,W,Calvin Klein,Sweater Calvin Klein Beige - Mujer,,25.0,80.0,1,M,1
ON04,O,NG,JBL,Parlante JBL Clip3 Rojo,,24.0,90.0,1,NS,1
ON05,O,NG,Nike,Riñonera Nike Gris,,24.0,60.0,1,NS,1
ON06,O,NG,JBL,Parlante JBL Clip3 Gold,,24.0,90.0,1,NS,1
ON07,O,NG,Nike,Riñonera Nike Negra,,24.0,60.0,1,NS,1
ON09,O,NG,Stanley,Stanley 30oz Salmon,,35.0,70.0,1,NS,1
ON10,O,NG,Stanley,Stanley 30oz Celeste,,35.0,70.0,1,NS,1
ON11,O,NG,Stanley,Stanley 30oz Rosa (c/ detalle cosmético),,35.0,55.0,1,NS,1
ON12,O,NG,Delsey,Delsey Violeta c/funda,,40.0,160.0,0,NS,4
OM02,O,M,Aime Leon Dore,NY Yankees by Aime Leon Dore,,0.0,120.0,0,NS,1
OM01,O,M,Aime Leon Dore,NY Yankees by Aime Leon Dore,,0.0,120.0,0,NS,1
SK01,S,K,Nike,Nike Force 1 Kids,,20.0,50.0,0,19.5,1
OW01,O,W,Calvin Klein,Gorra Calvin Klein Jean - Mujer,16,16.0,50.0,1,NS,1
SJ09,S,J,Jordan,Jordan Mid Beige,,71.23,210.0,1,44,1
SJ08,S,J,Nike,Jordan Low Verde & Blanco,"Green, White",56.98,200.0,1,43,1
SJ04,S,J,Nike,Jordan Wave Turqueza & Beige,"Sky Blue, Beige, White",65.98,200.0,1,38,1
SJ02,S,J,Nike,Jordan Mid Grises,Dark Grey,71.23,210.0,1,38,1
SJ02,S,J,Nike,Jordan Mid Grises,Dark Grey,71.23,210.0,1,40,1
SJ01,S,J,Nike,Jordan Low Dorado & Negro,"White, Black, Gold",63.25,200.0,1,42.5,1
SJ06,S,J,Nike,Jordan Low Plum,"Plum, White",73.48,200.0,1,39,2
SJ06,S,J,Nike,Jordan Low Plum,"Plum, White",73.48,200.0,1,38,1
SJ03,S,J,Nike,Jordan low Beige & Rosa,"Beige, white",65.98,200.0,1,38.5,1
SJ03,S,J,Nike,Jordan low Beige & Rosa,"Beige, white",65.98,200.0,1,39,1
JM04,J,M,Uniqlo,Campera Uniqlo UV Negra - Hombre,Black,40.0,110.0,1,S,1
JM04,J,M,Uniqlo,Campera Uniqlo UV Negra - Hombre,Black,40.0,110.0,1,M,0
JW03,J,W,Calvin Klein,"Campera Calvin Klein ""Corderoy"" - Mujer",White,37.0,108.0,1,M,1
JW01,J,W,Uniqlo,Campera Uniqlo Ultralight Negra - Mujer,Black,40.0,130.0,1,S,1
JW01,J,W,Uniqlo,Campera Uniqlo Ultralight Negra - Mujer,Black,40.0,130.0,1,M,0
JM03,J,M,Uniqlo,Campera Uniqlo UV Azul - Hombre,Azul,40.0,110.0,1,S,1
JM03,J,M,Uniqlo,Campera Uniqlo UV Azul - Hombre,Azul,40.0,110.0,1,M,0
JM05,J,M,Uniqlo,Campera Uniqlo Ultralight Negra - Hombre,Black,60.0,140.0,1,M,1
JW02,J,W,Uniqlo,Campera Uniqlo UV Negra - Mujer,Black,40.0,110.0,1,S,1
JW02,J,W,Uniqlo,Campera Uniqlo UV Negra - Mujer,Black,40.0,110.0,1,M,0
JM01,J,M,Nike,Campera Jordan Essentials - Hombre,Beige,51.73,140.0,1,M,1
JM02,J,M,Nike,Campera Nike Windrunner - Hombre,"Beige, White",49.48,120.0,1,M,1
ON08,O,NG,Stanley,Stanley 30oz Verde,,35.0,70.0,1,NS,1
TM03,T,M,Nike,Remera Nike Deportiva Ja Negra - Hombre,Black,25.48,45.0,1,L,1
TM03,T,M,Nike,Remera Nike Deportiva Ja Negra - Hombre,Black,25.48,45.0,1,M,0
TM01,T,M,Nike,Remera Nike Deportiva Ja Celeste - Hombre,Skyblue,25.48,45.0,1,M,1
TM04,T,M,Nike,Remera Jordan Blanca - Hombre,Blanco,15.93,70.0,1,M,1
TM04,T,M,Nike,Remera Jordan Blanca - Hombre,Blanco,15.93,70.0,1,L,0
TM02,T,M,Nike,Remera Jordan Negra - Hombre,Black,15.93,70.0,1,L,1
TM02,T,M,Nike,Remera Jordan Negra - Hombre,Black,15.93,70.0,1,M,1
TM09,T,M,Calvin klein,Remera Calvin Klein Blanca - Hombre,,12.0,60.0,1,M,1
HW01,H,W,Calvin Klein,Buzo Calvin Klein Negro - Mujer,Black,27.0,80.0,1,S,1
HM01,H,M,Nike,Buzo Cierre Nike Beige - Hombre,Beige,20.0,90.0,1,M,1
